dataset,scale,srcnn_955_psnr,srcnn_955_ssim,srcnn_915_psnr,srcnn_915_ssim,swinir_pretrained_psnr,swinir_pretrained_ssim
Set5,2,36.5129,0.9588,36.0641,0.9560,38.3341,0.9666
Set5,3,33.1732,0.9303,32.7022,0.9226,35.4955,0.9508
Set5,4,30.1749,0.8680,29.9150,0.8595,32.6230,0.9111
Set14,3,29.5050,0.8522,29.2290,0.8457,31.0948,0.8797
