epoch,train_loss,train_mse,train_perceptual,eval_psnr,eval_ssim
0,0.017117339716213716,0.017117339716213716,0.0,,
1,0.002183673172080316,0.002183673172080316,0.0,,
2,0.0018143915541229709,0.0018143915541229709,0.0,,
3,0.0016374704050776873,0.0016374704050776873,0.0,,
4,0.0015524614010350313,0.0015524614010350313,0.0,31.780384063720703,
5,0.001502621109301055,0.001502621109301055,0.0,,
6,0.0014704120100634255,0.0014704120100634255,0.0,,
7,0.0014506339336556992,0.0014506339336556992,0.0,,
8,0.001435364655436145,0.001435364655436145,0.0,,
9,0.0014236250112537852,0.0014236250112537852,0.0,32.06904678344726,0.9114721196453927
10,0.0014145654466418314,0.0014145654466418314,0.0,,
11,0.0014038835150323524,0.0014038835150323524,0.0,,
12,0.0013960701033822601,0.0013960701033822601,0.0,,
13,0.001387749553475081,0.001387749553475081,0.0,,
14,0.0013821209204598955,0.0013821209204598955,0.0,32.21530685424805,
15,0.0013750254516585393,0.0013750254516585393,0.0,,
16,0.001368113289023217,0.001368113289023217,0.0,,
17,0.0013647978096760678,0.0013647978096760678,0.0,,
18,0.001358186364033235,0.001358186364033235,0.0,,
19,0.001355106811601767,0.001355106811601767,0.0,32.29482078552246,0.9165755959899821
20,0.0013491994903772479,0.0013491994903772479,0.0,,
21,0.001345529341168942,0.001345529341168942,0.0,,
22,0.001342166021781703,0.001342166021781703,0.0,,
23,0.0013389433606096224,0.0013389433606096224,0.0,,
24,0.0013352479264030883,0.0013352479264030883,0.0,32.39473190307617,
25,0.0013333197366965175,0.0013333197366965175,0.0,,
26,0.0013288183663862476,0.0013288183663862476,0.0,,
27,0.0013262543631335202,0.0013262543631335202,0.0,,
28,0.0013242746645972525,0.0013242746645972525,0.0,,
29,0.0013208534588007655,0.0013208534588007655,0.0,32.4387149810791,0.918811299945844
30,0.0013181045380027698,0.0013181045380027698,0.0,,
31,0.0013173184486630419,0.0013173184486630419,0.0,,
32,0.0013160030598222358,0.0013160030598222358,0.0,,
33,0.0013125284844285692,0.0013125284844285692,0.0,,
34,0.0013091065492440027,0.0013091065492440027,0.0,32.50600662231445,
35,0.0013090387772621253,0.0013090387772621253,0.0,,
36,0.0013067503615085832,0.0013067503615085832,0.0,,
37,0.0013047114222534439,0.0013047114222534439,0.0,,
38,0.00130474484062008,0.00130474484062008,0.0,,
39,0.0013007841928509717,0.0013007841928509717,0.0,32.55014533996582,0.9202595216779175
40,0.0013003553623330843,0.0013003553623330843,0.0,,
41,0.0012982590912630962,0.0012982590912630962,0.0,,
42,0.0012966253722354203,0.0012966253722354203,0.0,,
43,0.0012927668079012824,0.0012927668079012824,0.0,,
44,0.0012937540861319128,0.0012937540861319128,0.0,32.586870193481445,
45,0.001290017220190292,0.001290017220190292,0.0,,
46,0.0012915621356645332,0.0012915621356645332,0.0,,
47,0.0012892029569771064,0.0012892029569771064,0.0,,
48,0.001285950424521069,0.001285950424521069,0.0,,
49,0.0012868492353005647,0.0012868492353005647,0.0,32.58465423583984,0.9210112577934387
50,0.0012862404531531603,0.0012862404531531603,0.0,,
51,0.0012822221248353289,0.0012822221248353289,0.0,,
52,0.0012801473661902146,0.0012801473661902146,0.0,,
53,0.0012804873735245176,0.0012804873735245176,0.0,,
54,0.0012787204274028277,0.0012787204274028277,0.0,32.62930183410644,
55,0.0012765245515883208,0.0012765245515883208,0.0,,
56,0.0012756433403474494,0.0012756433403474494,0.0,,
57,0.0012753952123549742,0.0012753952123549742,0.0,,
58,0.0012740406813373096,0.0012740406813373096,0.0,,
59,0.0012731128503688642,0.0012731128503688642,0.0,32.69476127624512,0.9219839767714696
60,0.0012697869477536845,0.0012697869477536845,0.0,,
61,0.001271891684539048,0.001271891684539048,0.0,,
62,0.001267586417374668,0.001267586417374668,0.0,,
63,0.00126721391309588,0.00126721391309588,0.0,,
64,0.0012665649236226317,0.0012665649236226317,0.0,32.73456153869629,
65,0.0012627610210616065,0.0012627610210616065,0.0,,
66,0.001264840688951084,0.001264840688951084,0.0,,
67,0.0012629992213193054,0.0012629992213193054,0.0,,
68,0.0012606950696964702,0.0012606950696964702,0.0,,
69,0.001259925648060701,0.001259925648060701,0.0,32.75511245727539,0.9231510984333215
70,0.001259982761554147,0.001259982761554147,0.0,,
71,0.0012597223997110627,0.0012597223997110627,0.0,,
72,0.0012574138248180888,0.0012574138248180888,0.0,,
73,0.0012569699953296537,0.0012569699953296537,0.0,,
74,0.001254802302947634,0.001254802302947634,0.0,32.787772750854494,
75,0.0012533152930006997,0.0012533152930006997,0.0,,
76,0.0012549227617388793,0.0012549227617388793,0.0,,
77,0.0012518179045083366,0.0012518179045083366,0.0,,
78,0.001251978915091877,0.001251978915091877,0.0,,
79,0.001249395573581364,0.001249395573581364,0.0,32.762538528442384,0.923364844743378
80,0.0012484972119055514,0.0012484972119055514,0.0,,
81,0.0012486246218181099,0.0012486246218181099,0.0,,
82,0.0012489771117084822,0.0012489771117084822,0.0,,
83,0.0012467602859155612,0.0012467602859155612,0.0,,
84,0.0012457892256024187,0.0012457892256024187,0.0,32.80245819091797,
85,0.0012454313881179082,0.0012454313881179082,0.0,,
86,0.0012441174950944998,0.0012441174950944998,0.0,,
87,0.0012433619205662408,0.0012433619205662408,0.0,,
88,0.0012435634727002588,0.0012435634727002588,0.0,,
89,0.0012418236994850955,0.0012418236994850955,0.0,32.84383964538574,0.9244033467381183
90,0.0012415597736603332,0.0012415597736603332,0.0,,
91,0.0012403910112829437,0.0012403910112829437,0.0,,
92,0.0012400987154539249,0.0012400987154539249,0.0,,
93,0.001238860839075215,0.001238860839075215,0.0,,
94,0.001237624229950683,0.001237624229950683,0.0,32.85996513366699,
95,0.0012379024963678458,0.0012379024963678458,0.0,,
96,0.0012360573573860058,0.0012360573573860058,0.0,,
97,0.0012346221882743418,0.0012346221882743418,0.0,,
98,0.0012350817235894063,0.0012350817235894063,0.0,,
99,0.0012340309880837755,0.0012340309880837755,0.0,32.855044555664065,0.9249611421200526
100,0.0012324954537726676,0.0012324954537726676,0.0,,
101,0.0012325141990292391,0.0012325141990292391,0.0,,
102,0.0012323302984964157,0.0012323302984964157,0.0,,
103,0.0012303185227594703,0.0012303185227594703,0.0,,
104,0.0012313223543271006,0.0012313223543271006,0.0,32.9059757232666,
105,0.001228462558006185,0.001228462558006185,0.0,,
106,0.0012288179495740584,0.0012288179495740584,0.0,,
107,0.001228854062221398,0.001228854062221398,0.0,,
108,0.001227059447318534,0.001227059447318534,0.0,,
109,0.0012270003790035844,0.0012270003790035844,0.0,32.91846237182617,0.925504841888903
110,0.001226128166393975,0.001226128166393975,0.0,,
111,0.0012254250668401658,0.0012254250668401658,0.0,,
112,0.0012257534483464058,0.0012257534483464058,0.0,,
113,0.0012230624335878078,0.0012230624335878078,0.0,,
114,0.001223837196160534,0.001223837196160534,0.0,32.918718338012695,
115,0.00122176021077367,0.00122176021077367,0.0,,
116,0.0012235040112420414,0.0012235040112420414,0.0,,
117,0.0012232674344830607,0.0012232674344830607,0.0,,
118,0.0012212937683771061,0.0012212937683771061,0.0,,
119,0.0012217678617524896,0.0012217678617524896,0.0,32.940849685668944,0.9258952067257559
120,0.0012220510749673455,0.0012220510749673455,0.0,,
121,0.0012199402140874054,0.0012199402140874054,0.0,,
122,0.001219846846609543,0.001219846846609543,0.0,,
123,0.0012187148074624934,0.0012187148074624934,0.0,,
