epoch,train_loss,train_mse,train_perceptual,eval_psnr,eval_ssim
0,0.09175481909443556,0.012678085967333021,7.907673472183541,,
1,0.05679328370391449,0.0018047808687942774,5.498850397350502,,
2,0.05426797149511726,0.0016852481508507363,5.258272447893696,,
3,0.05278561870592081,0.001634575472325305,5.115104434077691,,
4,0.05170483121380778,0.0016005830431310597,5.010424948158152,31.600013732910156,
5,0.050917811997649956,0.001579346267378116,4.933846668763594,,
6,0.05032546198831276,0.0015583660110798487,4.876709712215883,,
7,0.04987348429312454,0.0015447435438321615,4.832874171545079,,
8,0.04946134557341201,0.0015285749459854952,4.793277183236265,,
9,0.04914087549813332,0.0015212715565175081,4.761960514130131,31.740254592895507,0.9124345901744091
10,0.048885477493760175,0.0015167119671096287,4.736876645046245,,
11,0.048623320337963946,0.0015021450884156802,4.712117621625973,,
12,0.048382570317064215,0.0014948941860416264,4.688767731014934,,
13,0.048219885950214356,0.0014882364852799109,4.67316505356618,,
14,0.04799778286444127,0.0014783826679171574,4.651940136011745,31.538624572753907,
15,0.047854421742238605,0.0014753547921104908,4.637906789779663,,
16,0.047702395420008044,0.001468008534321862,4.623438786201812,,
17,0.04757923409998242,0.0014668115702474113,4.611242364228995,,
18,0.04740752980025632,0.0014597020824467135,4.594782874731025,,
19,0.04731038207313881,0.0014579503488374595,4.585243275438236,31.90575752258301,0.9141572071160766
20,0.04714035887347638,0.0014497791268436725,4.569058081271711,,
21,0.04707927552879381,0.0014506415015051028,4.562863514919784,,
22,0.04695704382710443,0.00144421101562799,4.551283383998703,,
23,0.04684750434240638,0.001441369869144049,4.540613546399427,,
24,0.04675832730540432,0.001439849977331001,4.531847839131733,31.964114379882812,
25,0.04664002971783761,0.001433826968636462,4.520620372637976,,
26,0.0465634348324317,0.0014328263434403934,4.513060968991948,,
27,0.04650784326482379,0.0014320469461040041,4.50757973285015,,
28,0.04642373280834592,0.001427497632481988,4.499623618867041,,
29,0.046322879247651425,0.0014237128170835308,4.489916754607931,31.959877014160156,0.9149733086857352
30,0.04624043539428641,0.0014225051533826832,4.481793110671281,,
31,0.046196101948924775,0.001421723096417072,4.477437980713383,,
32,0.04611485971471082,0.0014163963614465926,4.46984643250966,,
33,0.04605503181470804,0.0014166304666843933,4.463840239208814,,
34,0.04596188082154895,0.0014135927957744827,4.454828906269017,31.88670539855957,
35,0.045923632304689405,0.00141154755353436,4.451208563494193,,
36,0.04582995384975263,0.001408407327553798,4.442154754291881,,
37,0.04579052715794432,0.0014090966508393326,4.438143147051859,,
38,0.045700420229490904,0.001404671569435401,4.429574955243869,,
39,0.045670803876653794,0.0014067422800022793,4.42640625836213,31.929301452636718,0.914715888007591
40,0.04560105240414919,0.0014046950126135082,4.419635834232453,,
41,0.04557962647893212,0.0014032550100469279,4.417637248892238,,
42,0.04550474785989331,0.0013999978138087455,4.4104751093296715,,
43,0.04546487309541171,0.001397248294205839,4.4067625761731275,,
44,0.04540567238790549,0.0013983119354252854,4.400736148056747,31.886384201049804,
45,0.04534959927463462,0.0013958928480818102,4.395370737898035,,
46,0.04530357040705219,0.001392876409824468,4.391069501026634,,
47,0.04524200266538477,0.0013933176216751315,4.3848685868674355,,
48,0.045229935324873745,0.0013944292510996226,4.383550707545798,,
49,0.0451575359903123,0.001391385410519049,4.376615139046722,31.954421997070312,0.9164707282427521
50,0.04513022471820154,0.0013928720230834773,4.373735373320817,,
51,0.045105902505410383,0.0013918430792629348,4.371406042680713,,
52,0.0450491687266533,0.0013890692771650042,4.366010059709073,,
53,0.04502326149569928,0.0013899896848643652,4.363327294151105,,
54,0.04495986055069305,0.0013884323643304714,4.357142923864101,32.11943321228027,
55,0.0449208776818867,0.001385428040265174,4.353545063751534,,
56,0.044908486317591936,0.001387422345168998,4.352106497084989,,
57,0.04484944819005703,0.0013848150733112743,4.346463419475164,,
58,0.04477706495836333,0.0013818112143951732,4.339525477977093,,
59,0.0448054582252006,0.0013842606236625604,4.34211986365556,32.02913627624512,0.9157251813320892
60,0.044733066221049105,0.0013833991012910157,4.334966811965987,,
61,0.0447252507149474,0.0013835176272806644,4.33417341016954,,
62,0.04470982458278581,0.001384034340271229,4.332579119813757,,
63,0.04465458862199462,0.0013814979098679887,4.327309164483526,,
64,0.04458144525628635,0.0013806892929686086,4.320075685327703,31.951884841918947,
65,0.04459368709551274,0.001380441676725598,4.321324653989059,,
66,0.044542725091455966,0.0013782391934027442,4.316448682913682,,
67,0.044512233284474116,0.0013803157546076804,4.31319183548175,,
68,0.04445959885449004,0.0013776376011816898,4.308196232815292,,
69,0.044430557004779665,0.0013753711522483101,4.305518686596599,31.869199371337892,0.9167098176000754
70,0.044424500272683035,0.0013785104853131116,4.30459908166589,,
71,0.044383996141708494,0.0013753823827422304,4.300861476803106,,
72,0.04435181981526162,0.0013756863887236068,4.297613456451998,,
73,0.04431853061022996,0.0013760541621363474,4.294247745418828,,
74,0.04432395463290452,0.0013767813495906545,4.294717434214706,32.17032165527344,
75,0.044300802838592584,0.00137598454492041,4.29248193561856,,
76,0.04424488353283524,0.0013751093075607967,4.286977516241437,,
77,0.04424371685057092,0.001374720764596321,4.286899698095238,,
