epoch,train_loss,train_mse,train_perceptual,eval_psnr,eval_ssim
0,0.4884586970011393,0.18089401928914917,30.756468200683592,,
1,0.2577417489555147,0.036680452235870895,22.10613030327691,,
2,0.1824852294392056,0.0176600175185336,16.482521523369684,,
3,0.15950977040661707,0.012965870979759429,14.654390250311957,,
4,0.1479837084809939,0.010706905192799038,13.727680608961318,23.064294815063477,
5,0.1401398118999269,0.009308091675241789,13.083172374301487,,
6,0.13364583833350074,0.008309884514245722,12.53359572092692,,
7,0.1295712012383673,0.007702949042949412,12.186825434366861,,
8,0.1256879758503702,0.00724543287522263,11.844254642062717,,
9,0.12320978078577254,0.006941929387135638,11.626785299513076,23.711750984191895,0.8176014423370361
10,0.12085373219516542,0.0066909953330953915,11.416273964775932,,
11,0.11908308896753524,0.006493074560744895,11.259001837836372,,
12,0.11637249936660131,0.006282971789025598,11.008953020307754,,
13,0.11464496966865327,0.006102611362520192,10.854236051771377,,
14,0.11398010270463096,0.006021328632616335,10.795877710978191,24.72013568878174,
15,0.11193542414241367,0.005885635637160804,10.604979112413194,,
16,0.11120889667007658,0.00582726402208209,10.538163545396593,,
17,0.11052784704499774,0.005797342997458246,10.473050583733453,,
18,0.10836931533283657,0.005585336354043749,10.278398185306125,,
19,0.10785111404127545,0.005537282758288914,10.231383450826009,24.94398593902588,0.8287027180194855
20,0.10673492583963606,0.0054670159911943805,10.126791127522786,,
21,0.10527056256930033,0.005356851582311922,9.991371228959824,,
22,0.10605194336838192,0.005383985603435172,10.066795942518446,,
23,0.10425739768478605,0.005280466734742125,9.897693379720051,,
24,0.10397984137137731,0.0052477288991212845,9.8732113732232,25.24921226501465,
25,0.10304350588056777,0.005191939691495564,9.785156853993733,,
26,0.10581212159660128,0.005432125061957373,10.03799983130561,,
27,0.10129687339067459,0.005079371637354294,9.62175047132704,,
28,0.10050653964281082,0.005019242383746637,9.548730066087511,,
29,0.10034803715017107,0.00499066806708773,9.53573711183336,25.36021900177002,0.834550678730011
30,0.09971978829966652,0.004962205048650503,9.475758510165745,,
31,0.0994968925913175,0.004946257298191388,9.45506377749973,,
32,0.0987109382947286,0.004915108578279615,9.379583189222547,,
33,0.09852776295608945,0.004873578064143657,9.365418624877929,,
34,0.09744868063264422,0.004821750009432435,9.262693320380317,25.28505802154541,
35,0.09762037181191974,0.00481954761263397,9.28008262846205,,
36,0.09664363794856601,0.004747376694447464,9.18962623808119,,
37,0.09588408271471659,0.004707322212763958,9.117676247490778,,
38,0.09602542105648253,0.0047078167036589645,9.131760639614528,,
39,0.09555351783831914,0.004695164996923672,9.085835488637288,25.337302207946777,0.8361994624137878
40,0.09563644842969046,0.004748187638405297,9.088826296064589,,
41,0.09463681926329931,0.004630316312735279,9.00065050125122,,
42,0.09495914694335726,0.004653512536444597,9.030563767751058,,
43,0.09280245006084442,0.004551229600070252,8.825122271643744,,
44,0.09352709551652273,0.004575809577686919,8.895128748151992,25.535480499267578,
45,0.09310752401749293,0.0045416238614254525,8.85659016503228,,
46,0.09292446441120572,0.00454816823411319,8.837629816267226,,
47,0.09185832540194193,0.0045046145820783244,8.735371239980061,,
48,0.0934057378106647,0.004578320102559196,8.882742012871637,,
49,0.09254321455955505,0.004593482623911566,8.794973447587754,25.63010311126709,0.8397369682788849
50,0.09118174753255315,0.004450688179996279,8.673106140560574,,
51,0.09057113495137957,0.0044127024917138945,8.615843529171414,,
52,0.09109684311681324,0.004465983885650834,8.66308618121677,,
53,0.09069365958372752,0.004443825791693396,8.624983596801759,,
54,0.08969392445352342,0.004370355880301859,8.532357025146485,25.673198699951172,
55,0.09026671465900209,0.004398849906606807,8.586786651611328,,
56,0.09045776865548558,0.004427765925518341,8.603000407748752,,
57,0.08933219793770049,0.004361305535874433,8.49708948135376,,
58,0.08863655370142724,0.004321266933240824,8.43152887556288,,
59,0.08801473503311476,0.00429672804247174,8.371800910101996,25.569470405578613,0.8405337035655975
60,0.08827219795849588,0.004307604146500429,8.39645963244968,,
61,0.0888769188688861,0.0043341992578158775,8.454272185431586,,
62,0.08793059802717633,0.004286618396225903,8.364398203955757,,
63,0.08780049781004588,0.0042809622103555335,8.351953834957547,,
64,0.08753819672597779,0.004276393048672213,8.326180511050755,25.678812980651855,
65,0.08715424852238761,0.004248928573603431,8.290532165103489,,
66,0.08741983258061939,0.00430544088077214,8.311439344618055,,
67,0.08696034385098352,0.004281868977058265,8.267847718132867,,
68,0.08675621234708362,0.004231156827881932,8.252505736880833,,
69,0.08627547207805845,0.0042074930440220565,8.206798066033258,25.610591888427734,0.8420585989952087
70,0.0862345556418101,0.004199996259477403,8.203456083933512,,
